Review,Date,Month,Year,Sentiment Score
"The Sandisk Ultra 64GB Micro Card is a great addition to maximize the Samsung Galaxy IIIS, whatever version you got 16GB or 32GB. Is a very fast memory at a great price. Plenty space for pictures, videos and Android Applications. Good for the 1080 videos that the Galaxy IIIS use. Super Fast. If you got the most advanced smartphone in the market as I do, this is the memory to get at the right price.",10-12-12,December,2012.0,5
I installed this on my Samsung tablet tab 2 7.0. There is definitely a performance difference on my tablet especially when i load up all my apps.,02-03-14,March,2014.0,5
This memory works in Samsung Smartphones .It is a fast memorySandisk is the most reliable memories in the market,13-01-14,January,2014.0,5
"Love it, good quality good performance, great brand. Could not find better product for my money. Using it for a Samsung Galaxy S4 mini with zero complications.",01-10-14,October,2014.0,5
"This product arrived in two days (Prime), it was exactly what I ordered and it works great in my Galaxy S3. I know a class 10 is not exactly needed in a cell phone but it cannot hurt, right? I'm very happy with this purchase.",27-02-13,February,2013.0,5
I expanded my Samsung Tab 10.1 tablet from 1GB to 32GB works fast and don't see any lags. I can now store more than ten movies on my tab and play right of the flash disc with no problems.Very happy with this card.,30-10-13,October,2013.0,5
"Update: providing an update with regard to SanDisk support.I bought the memory card in Aug 2012 (see original review below). In May of 2013 while on my cruise to Alaska the card went bad. During the sailing out of San Francisco it was fine as I used it to take a panorama shot of the Golden Gate Bridge. For most of the cruise I was using my DSLR but the next time I wanted to use my cell phone, the phone told me I had no memory card loaded.  Any way, tested the card on my laptop when I got back and it couldn't recognize it. I contacted SanDisk via email and provide them copy of my receipt from Amazon along with the serial number on the back of the card (very hard to read) and no problems; they told me to send them back the card and they sent me a brand new card which is now still functioning in my cell phone.  Great support provide by SanDisk. No hassle as long as you can provide proof of purchase (easy to do since Amazon keeps my entire purchase history/invoices online).  One reason I buy directly from Amazon itself vs other vendors (either on Amazon or elsewhere on the Internet) is that I have confidence that the memory cards sold by Amazon itself are genuine.  there may be incredible deals elsewhere on the internet but in some cases the deals are too good to be true and counterfeit cards are being sold.Original review:Just received this today. Removed it from the packaging and inserted it into my Samsung Galaxy S3 (Verizon) and powered the unit back up and the storage was available.  No formatting required. Worked the first time out. Settings showed 29.71GB of total space (32GB version) and 29.71GB of free space.  I like the fact that a SD adapter came with it.  Should I ever need to insert the card into my laptop it will come in handy. (yes I can plug my phone directly to my laptop but if I ever swap this 32GB card out of my phone and replace it with a 64GB version, I can use this 32GB version via the adapter for other purposes.)",09-05-12,May,2012.0,1
"Still don't feel is very fast or is just my phone, I guess I will need to remove it and run some R/W tests. Still Its ok.",02-03-14,March,2014.0,3
"I bought 64GB version of the card to use with GoPro Hero 3 black edition.  It didn't work out.  The card worked OK if camera was set to resolution with lower bit rates.  E.g. worked fine in 720p with protune on, or 1080p with protune off.  However, in 1080p with protune on (bitrate is just shy of 6 MB/s in this mode -- much higher then with protune turned off) it was nothing but trouble.  Camera would sometime work, and sometime randomly stop recording for no obvious reason.  I first suspected camera, but testing with different SD cards, it ended up being SanDisk's card that was at fault.  My spare card, an old and cheap 16GB PNY (also class 10), worked just fine under same conditions and with same camera settings.Once it was obvious it was problem with the card, I found people on GoPro's forums that had trouble with this specific card as well (well, you always find these only after you figure it out for yourself, right?).  Anyhow, I did some speed tests with the card by doing simple write of 1GB file full of zeros using Unix dd utility to copy 1GB of zeros from /dev/zero (where else would you find that many zeros ;-) onto a file on the card.  The result was that on average, SanDisk's card would manage about 10.2 MB/s.  Just barely above the bar for class 10 card.  However, that was average over 1GB.  During the write test, the speed was oscillating with many spikes and drops.  Drops were as low as 7MB/s.  Uh.  I thought write speed of class 10 card should never dip below 10 MB/s?  For comparison, my old cheap class 10 PNY card was chugging along at constant 13 MB/s under the same test.  No spikes and no drops in speed.The card will probably work fine in most devices, as bitrates when recording 1080p video are often low enough and/or camera might have huge buffer.  But if you want to use it to record video at high bitrates, and your device doesn't have huge buffer to compensate for speed bumps of this card, you may run into trouble.  Be wary of using it in Hero3 in modes that have higher bit rates (e.g. 1080p with protune enabled).SanDisk's website lists part numbers as SDSDQUI-064G with adapter, and SDSDQUA-064G without adapter.  This conflicts with product description on Amazon.  While this is likely just Amazon not getting product description right again (a bit too common thing), it's interesting to note.[Update Apr 20 2013]:Some numbers from testing the card.  The test is extremely simple.  Write out 1GB of zeros onto the card using standard Unix dd command to read 128KB blocks of zeroes from special device /dev/zero and write it onto the card.  128KB * 8192 = 1GB.  dd displays transfer stats once it finishes.  While dd was running, I run iostat in second terminal displaying 1 second interval stats as a measure of current speed.  This was done on the Mac.  dd command line can be used as-is to repeat test on Linux system, however iostat command is different on Linux and would need to be modified slightly.  I choose 128KB block size, as that seems to be what device drivers merges sequential writes into anyhow.  Using different block sizes, results are comparable.$ dd if=/dev/zero of=test bs=131072 count=81928192+0 records in8192+0 records out1073741824 bytes transferred in 101.578307 secs (10570582 bytes/sec)So, 10 MB/s and all is good? Right? Wrong! iostat running in parallel with above dd command recorded this:$ iostat -d -w 1 disk2disk2KB/t tps MB/s123.11 76 9.12116.61 185 21.04122.94 49 5.88128.00 41 5.12128.00 89 11.11128.00 134 16.73128.00 69 8.61128.00 61 7.62128.00 99 12.36[ ... and so on until dd finishes writing 1GB of zeros to the card ... ]IMO, the last column should never dip under 10MB/s for card labeled class-10.For comparison, same test run against Samsung Pro 64GB micro-SD card:$ dd if=/dev/zero of=test bs=131072 count=81928192+0 records in8192+0 records out1073741824 bytes transferred in 52.869111 secs (20309436 bytes/sec)$ iostat -d -w 1 disk2disk2KB/t tps MB/s125.30 138 16.86117.73 157 18.03123.04 150 18.00128.00 159 19.86128.00 156 19.47126.45 160 19.73128.00 150 18.72128.00 154 19.22128.00 153 19.11[ ... and so on until dd finishes writing 1GB of zeros to the card ... ]So, Samsung is on average 2x faster, but more importantly it's speed is much more constant.  And critically important, it never dips under 10MB/s.",04-03-13,March,2013.0,2
What else to say about this Sandisk Ultra 64 GB micro SD XC ? just perfect as all Sandisk cards,21-06-14,June,2014.0,5
My husband and I bought this for our GoPro and we used to to record our vacation to Mexico. We still have more than half of the space left!,13-05-14,May,2014.0,5
This item is what it is; I've been using it for a few months now and it records HD videos in my GoPro Hero3 without problems.,21-11-13,November,2013.0,5
"This is my third purchase. I own 4 of them and they've been working fine so far. I have them installed on my smart phone, cameras and even used as a portable storage device and I have not noticed any issues with them. Very good product.",03-01-13,January,2013.0,5
"i love this little guy its super fast and it has a lot of space for storage, just plug it in and enjoy",02-04-13,April,2013.0,5
Bought it for my gopro hero3 camera (silver edition).Working without any problems. Fast!Was pleasantly surprised of the good quality Memory Card Adapter! Now can turn it into my laptop directly.,31-05-13,May,2013.0,5
"It is a great addition to a smart phone with huge capacity to store data. Also it is pretty fast to record video, no lag at all during recording.",30-04-13,April,2013.0,5
The micro SD card was very well made it had great read and write speeds and it added gray amount of memory to my Samsung galaxy s4. Really recommend this,07-01-13,January,2013.0,5
"I bought this item to use in my gopro hero 3 because it's what they sell on the gopro website, but can be had a lot cheaper on Amazon.  Have yet to have problems with the card.",13-08-13,August,2013.0,5
"Works perfectly and for a fair price, it is immediately recognized by any device you use it . Good purchase!",02-07-14,July,2014.0,5
"Needs little to no formatting and I have yet to see a SanDisk fail. Don't cut corners, almost every other brand of SD cards will fail on you except these (tried numerous brands with my devices).Just remember it takes a bit for devices to buffer the information off of the SD card and static can corrupt any SD card which is usually easily fixed with a formatting. Always back up your documents to a PC/Mac as soon as possible.Oh, and if you create playlists, slideshows, etc. on devices and remove the SD card, the device will not be smart enough to re-compile it after you put the SD card back in and you will end up with blank playlists even though you have the songs so WATCH OUT!Lastly if this SD card doesn't work for you for whatever reason google SD card formatting and it should help you out. These 64GB versions don't seem to have formatting issues like the 32GB ones do but even then formatting to FAT32 fixes it.",09-11-13,November,2013.0,2
SanDisk is a company you can trust and offering such a good product at a low price.Comes with an adapter and small case to get full sd card size and keep it from getting lost when not in use.,07-01-14,January,2014.0,5
"Appears to be Class 10, holds about as much as it says it does, came with an SD card adapter and they even gave me the option to forgo those ridiculous plastic packages that you all know and hate. The ones that the scissors refuse to cut and you just end up hurting yourself a few times before getting it open. Completely as advertised.",03-11-13,November,2013.0,5
I bought this card for my Gopro hero3+ and it was worked fine. Some people said they have problems with the cards in the new gopros but I have had no such problems. The micro card works with anything that also takes standard cards due to the included adapter.,31-10-13,October,2013.0,4
Have always had good experiences with SanDisk products.  This was priced well.  I have installed it in my wife's cell phone and it was immediately  recognized.  Not quite sure about the features this chip is supposed to have but for the amount of memory it was a good deal - extra features or not.,03-02-13,February,2013.0,4
Comes with a nice little adapter for your MicroSDHC so you can use it as a normal size SD card also. pretty neat.Considering for the price at 24$ for 32gb is pretty reasonable class 10 is fast for any HD 1080p video recording or DSLR camera.I bought this for myself to use with the GoPro 3. Taking picture & Videos working great as it didn't give anycorrupted files videos & pictures yet. Its working pretty good. San-disk is a pretty reliable brand as you won't be able to go wrong with it.,20-06-13,June,2013.0,4
"Great value, plenty of storage for both my phone & tablet!  I looked around and this is a really good deal.",12-05-13,May,2013.0,5
Shipped fast and worked really well!  I use this just in case I have to take a lot of photos! Loads fast!,14-05-14,May,2014.0,5
"I have an old SanDisk SD card that still works. I thought their new cards would be just as reliable, but I was wrong.The microsd card failed yesterday inside my phone. I used the adapter to connect it to my computer, but it wouldn't mount.I bought this directly from Amazon and not a third party vendor, so I know it's genuine SanDisk.",22-06-13,June,2013.0,2
Best price anywhere!!!,14-07-14,July,2014.0,5
I bought this memory card for my Samsung Note 10.1. i amis really happy about it and i am recommending this product & am very pleased about it.,27-01-13,January,2013.0,5
"Shipping was fast , the product has a great quality and a great pricing.I like this manufacture and I am going to order them for my other devices.Lots of space",19-03-14,March,2014.0,5
So far so good. I bought a samsung micro sd card from bestbuy and it somehow erasedeverything. So this is my second one. Hopefully it keeps all of my stuff,12-05-13,May,2013.0,5
still have 26 gb left came in HARD CASE  FORE PROTECTION,07-11-14,November,2014.0,3
"I'm using this SD card in my Samsung Galaxy S3 instead of another one I bought with the same manufacture ""SanDisk 32 GB Mobile microSDHC Flash Memory Card SDSDQ-032G-AFFP"" (http://www.amazon.com/gp/product/B007KFXIDE/ref=oh_details_o04_s00_i02?ie=UTF8&psc;=1).It's working perfectly since October 2012.",26-05-13,May,2013.0,5
Used it in my Galaxy Note 2 for the past 16 months. All the sudden it is no longer writable. I tried many ways to reformat the card. Even Windows says format successful but all files remain after I remove and re-insert the card. Since I have private files in the card I'm not able to delete. I do not want to sent it back to SanDisk for replacement.,05-02-14,February,2014.0,1
"Usual SanDisk quality worked as expected and delivered on time, no problems worked great on my Android Samsung Tablet.",07-09-14,September,2014.0,4
"Put in the lumix camera and it works fast and great, no complaints, never had any issues, highly recommended, this brand always comes through  .",18-04-13,April,2013.0,5
Great product with enough capacity and it delivers performance. I am happy with this product on my Samsung Galaxy S4 phone.,26-12-13,December,2013.0,5
"Got this because you can't beat the price and Sandisk has so far always been reliable for me.  I own two 32gb UHS-1 cards and a few older (16gb, 8gb, class 4, class 6, etc) Sandisk MicroSDs not including my standard SDs or my USB thumb drives and they have stood up to my tests with only one card I can think of failing, which I was still able to recover all the data from (just not write to it anymore) and I'm pretty hard on my rewritable media.  What more can you say?",15-03-14,March,2014.0,5
"Great memory card.  Using this along with out Roku3.  Works great.  Fast transfer rate, good capacity, and reasonable price.  What else could you ask for?",11-05-13,May,2013.0,5
"Cannot go wrong with SanDisk and to date it works as advertised. The price wasn't a great cost savings but because it came from Amazon which has a great reputation to date as far as I am concerned, I purchased through them.",12-05-13,May,2013.0,4
Awesome card.. glad to be able to use it with my DSLR!,07-10-14,October,2014.0,5
Great storage size. Being the first adopter when it came out. Thought the sale price $119 is excellent. Got duped. It's been the same price since it was first introduced. Great for the action cam. Battery ran out before it ran out of memory.,07-07-14,July,2014.0,3
No problem with storage and speed. I only had some difficulties to insert it in my card Kingston reader: http://www.amazon.com/Kingston-Flash-Memory-Reader-FCR-HS219/dp/B00109Y2DQ/ref=sr_1_1?ie=UTF8&qid=1356544341&sr=8-1&keywords=card+reader I believ due to a sticker covering something in one of the sides. Other microSD do not have this kind of problem with that reader.,26-12-12,December,2012.0,4
Replaced one that crapped out in my tablet - taking most of my apps and a few hours of my time with it.,13-06-14,June,2014.0,5
"I bought this as a gift for the hubby and he seems quite well happy with it. It hasn't given him any issues, and he certainly uses a lot of information/media on his smartphone since he is a techie lol",03-07-13,July,2013.0,5
"does exactly what I needed it to do for Galaxy S5. Word of Warning...With KitKat it prevents apps from editing, changing, deleting anything on your SD card. Stock Apps that come with the phone can but downloaded ones are not able to. The trick if you have pics movies or whatever is to copy them to the Phones Internal Storage and delete from there. Until they fix it or come up with a non root work around for the Operating System.",07-01-14,January,2014.0,5
"Worked great in my galaxy s4--until it didn't work at all for some unknown reason. Used it for about 4 months before it crapped out. BACK UP YOUR DATA WITH ALL THESE THINGS, THOUGH....",27-05-14,May,2014.0,2
We use these in both our cameras when we are traveling. With the 32 GB we do not have to take a bunch of accessories. We also use them in our Cell Phones.,25-06-13,June,2013.0,5
Enough storage to my DSLR.Really low price for a Class 10 card.U can use several of this and make a Linux based SSD.,16-09-13,September,2013.0,4
"it is handy. 64gb is a good size. even though many devices claim only to support up to 32 gb card, many of them actually do support 64g card.i like sandisk, it is a brand you can always trust (not saying they dont have lemon,but it's happened to everything).",30-01-13,January,2013.0,4
I bought this for my Raspberry Pi.  It is large enough to run a full LAMP server.  The price / speed are a good bargain.,27-12-13,December,2013.0,4
"it is very good, thanks SanDisk,you must have it with gopro cam to get the benefit of cam, yap.",21-12-13,December,2013.0,4
"I use this for a Raspberry Pi, in the SD adapter, and it works so far.Also appeared to be the genuine part, although the prolific Sandisk counterfeiters have gotten really sneaky in recent years.I like getting MicroSDHC cards because they can be adapted to different device sizes.  For example, let's say I buy a used phone or e-reader that needs a memory card, and I'm not using my Pi -- I can just take the Pi's card, take it out of the adapter, and put it in the other device, rather than pay more money and wait a week for delivery of a new one.",14-02-13,February,2013.0,4
Just popped it in and moved some apps to the card and works great.  Video is handled quickly and all apps start fast.,07-10-13,October,2013.0,5
This is a great buy. It work just fine and I use it everyday in my cell phone. The adapter is great when moving files from my computer to my cell phone. Will buy again if the opportunity presents itself.,15-01-14,January,2014.0,5
oh how I have waited for this...works in S3 Samsung Galaxyworks in Note 3 Samsungexcellent transfer rates close to rated speeds (25mbs achieved)using this to make a music collection truly portable  (so nice to not have to carry 2 devices anymore)hope this review helps,17-05-14,May,2014.0,5
"This Micro SD card is perfect for any smartphone user looking to expand the storage on their device. I personally am using one in my Samsung Galaxy Note 3. Works like a charm. It is adequately fast, cheap, and fairly reliable. If you are looking for extremely fast speeds however, you should consider the SanDisk Extreme series which are the fastest MicroSD cards in the world. My card came with an adapter that this card plugs into and it becomes a full sized SD card. If you are looking to use this in a camera or any other device that uses SD cards, please look elsewhere. These cards are not nearly as fast as the full sized SD cards used in cameras. The adapter should only be used for transporting data from the phone or other device, to a computer. All in all, these are a great buy for any smartphone user looking for a higher storage capacity. The price fluctuates often, so catch em while there cheep! I got mine for around $30.",24-12-13,December,2013.0,5
"I bought this on August of 2013.  As of April 2014 the card stopped functioning.  It can still be read, but the writing capability is gone.  That's less than one year.  I'm extremely disappointed in the longevity of this card.  My usage of it has been on my Galaxy S4.  I have about 40Gb of data in it.  Guess I'm going to have to look for another card that has a longer lifespan than this one.",25-06-14,June,2014.0,1
"Why would you get anything less?  64GB of instantaneous movies, video, music or pictures.  If you have an Android phone that's capable of accepting micro SD cards go ahead and get you one or two.",11-08-13,August,2013.0,1
"I originally bought an off-brand card for my new GS4 because the price seemed so good. Then, the day after I took a lot of pictures...they all mysteriously vanished :'(So, since I've had only good experiences with SanDisk in the past, I immediately found this card (which I was happy was on sale at the time) and bought it. I've had absolutely no problems and I expect it to continue working for a long time *knock on wood*BOTTOM LINEThis is a quality product. DON'T buy cards without a respectable brand name.",14-03-14,March,2014.0,2
"I routinely use SDXC cards up to 128GB, and this card was unreadable on arrival.  Both of my PCs said it needed to be formatted, and as a last resort I let one of them try (Windows 7/i7with up-to-date SDXC drivers), and it could not format it.  It's on its way back to Amazon.  I'm glad their returns are so easy!",22-05-13,May,2013.0,1
"Always good, what else can I say ?",07-11-14,November,2014.0,5
Works as expected.  Based on price and performance this may be a best of breed product.  I have found the SanDisk brand to be dependable.,24-11-13,November,2013.0,4
"It is a memory card, fast as any other class10 card, and SanDisk units rarely lose data.  I wish these guys would keep their marketing on the backside leaving some white space on top so we could write things.  The cheapo-brands do this but not the big guys - idiots.",23-01-14,January,2014.0,4
So this product is a large disappointment...bought it to use in my tablet but the card is forever getting corrupted....I've reformatted the card a few times but it's to the point now that even a reformat doesn't work..  Wasted money...don't recommend purchasing.,10-02-12,February,2012.0,1
"My first card ordered was bad - my tablet and my computer wouldn't write to it, wouldn't read it. Amazon replaced it immediately and my new card is perfect. Reads and writes very fast, much faster than the HC in my phone. I'm glad I got the HC 1 for my tablet.",16-07-13,July,2013.0,5
I purchased this and could not get it to work. Then I discovered that SanDisk has an app for it. So if you are stressing over this not working in your android device no worries go get the app it will work.,20-11-13,November,2013.0,2
As usual anything from San Dish is a quality product.  Bought to use with my Surface Pro.  Works as described and fast connection.,14-12-13,December,2013.0,5
"I purchased 2 of these and am very happy with both. Good transfer rates. I found my last SD card caused the camera in my phone to delay when taking shots, but this one allows my phone to take pic's very quickly! :)",19-03-14,March,2014.0,5
"Bought this for my wife's Samsung TL240, which kept locking up with a lesser speed SD card. After throwing this card in there, the camera rarely locks up when taking pictures back-to-back. If you are shooting 10+ MP and taking pictures back-to-back or shooting HD vid, it's a good idea to upgrade to a Class 10 card.",15-12-12,December,2012.0,3
"My Samsung Galaxy Note 2 came with 8 gigs of internal memory. I discovered that apps can only be written to the internal 8 gigs of memory so I didn't want to fill up the internal memory with pictures, videos, music, etc.  I purchased the 64 GB San Disk Ultra MicroSDXC Class 10 card. I found a video on youtube to learn how to insert the card since I could find nothing on it in the phone's user guide.  It's real easy. Turn the Note phone off. Remove the Note's back plate. You see a plaque saying SD card in the upper left quadrant of the phone. Simply place the microsd card face up with the metallic pins facing down and towards the right into the depressed slot area to the left of the SD card plaque. Then slowly and gently slide the microsd card under the plaque until it clicks. If it isn't in correctly, it will tend to move back out from under the plaque. Do not force. Replace the back plate on the phone. Turn the phone on.  Go to settings, storage.  At the bottom of the page, you will see SD Card.  If the microsd card was inserted correctly, you will see the additional GBs of storage displayed there.  You will also see Reformat SD card and Remove SD card.  Use these settings to erase data from the microsd card, and to remove it from the phone.  Do not try to remove the microsd card from the phone without first activating the Remove SD Card setting.  You can damage the card and the phone.  The card came quickly and San Disk is a reliable brand. It's great to have the Class 10 rating too.",23-01-13,January,2013.0,1
64GB...delivered fast and installed quick! Works like it should at reasonable price. I only wish I could get more memory in my Note 3...so much media!!,12-11-13,November,2013.0,4
"Absolutely great product, will recommend. Great price. Used it on Note 10.1 and Note 2 phone. If you download a lot of music and movies, a must have.",08-10-13,October,2013.0,5
a fast memory card with room to spare at an amazing price. Suitable for Lots of Smart Phone Movies Fastest storage available today IMHO!,03-10-13,October,2013.0,5
Arrived quickly and in perfect condition.  It works well with my camera using its standard size adapter and then is readable by my Note 8.  Seems quick enough for my Canon G12.  I would recommend this.,10-05-13,May,2013.0,5
"Big card, a lot faster than the card that came with my phone. Allows me to switch to video and take pics faster. If you are going to get a cloud storage program think about just getting a couple big cards instead makes downloading and accessing chunks of data a lot easier.",22-12-13,December,2013.0,5
Bought it for memory in the smartphone.  So far it does what it is supposed to. Remember what I save..,12-10-12,October,2012.0,4
bought one for my GS3 phone and when I bought my wife the same got her one too.  They seem to work seamlessly.Perhaps over kill for us but cheaper per gig than smaller gig chips...,29-01-14,January,2014.0,5
Bought this for a Samsung note 2014 ed. This will give me plenty of data storage as I will be using the note to some quick picture editing,11-11-13,November,2013.0,4
Bought this for my new Samsung Galaxy S4.  It worked right away with no troubles.  Only time will tell. :),14-11-13,November,2013.0,5
"Bought this memory card as a spare for my Samsung Tab 2 10.1.  It works great, and allows me to bring extra movies, songs, and audiobooks with me to play on the tablet when I travel on vacations.",09-10-13,October,2013.0,5
"Bought this to add storage to a Sansa Fuze MP3 player.The card formatted correctly and works quite smoothly with the device.I also tried it using the adapter, in my Kodak digital camera and it was recognized instantly.  Pictures were saved quickly, allowing the camera to shoot again without undue delay.",12-01-12,January,2012.0,5
Bought this to use in my 8 inch Onda tablet.  No problems or issues installing or using.  Have about three months.  Would recommend to others.,19-07-13,July,2013.0,5
Can't go wrong with this class 10 card cheap and works great may have to buy another one as a spare.,17-12-12,December,2012.0,5
"Fast, reliable, plenty of size for the money. I ran Sandisk memory zone on this and was reading between 22 and 29 mbps. Not quite the 30 that it is supposedly rated at, but that is with a lot of apps installed and running off of the device.",12-01-13,January,2013.0,4
"Good memory card, a gift given to junior partner, after receiving very beautiful, beautiful packaging, received a big surprise, do not know how to evaluate it.",05-03-14,March,2014.0,4
Good value for the money.  This is a class ten rated card which has a fast speed and from a good manufacturer.,02-01-14,January,2014.0,4
Got it for my Note 10.1 and it's great being able to pop it into my computer via the adapter to load large amounts of pictures on and then back into my tablet. Kinda wishing I got a larger capacity one.,25-01-13,January,2013.0,4
"Got this for my Galxy S3 - had another brand that the phone kept losing contact with and that corrupted a few files.  Much faster transfers with this - I got the 64GB version for my  Note 10.1. As always, super-fast shipping with Amazon Prime.",08-03-13,March,2013.0,5
Great micro SD card for smartphones or other products. I wanted something with a high transfer rate so that taking HD video there would be no lag.,12-01-12,January,2012.0,5
Great price for 32gb SD card; It was delivered on time and I got it download from my previous SC card with out any problems. Great shopping for electronic stuff at Amazon.,07-05-14,May,2014.0,5
"Great price for a great chip, it worked perfectly in my new smart phone.  I swapped out a 4 Gig chip with this one, and now I have lots of excess storage capacity.",06-02-13,February,2013.0,5
Great value for extra storage on cell phones. Adapter included with memory disk allows easy interface with standard computer card reader interfaces.,15-06-14,June,2014.0,5
"Had to return this item, it would not fit properly into the adapter that it came with.  Return was no problem, but I am reluctant to buy another one.",17-08-13,August,2013.0,1
"haven't been able to use this in the capacity that I bought it, for a tablet pro, but I have used it in a usb adapter and it works well there.",04-04-14,April,2014.0,4
Have this for a action cam - works great so far.  Can't wait for my zip line tour.  Was not expensive as you would think for this size of memory card.,25-10-13,October,2013.0,5
"Having used SanDisk before in my photography, I of course went to them when it was time to outfit my new Samsung Galaxy S3 with an internal microSD card. I spent the extra bucks over comparably ""no name"" Micro SD cards and bought this variant. I took quite a few pictures and even transferred an album from my computer so I coud show it to friends on the go.After less than two months, the SanDisk microSD card started acting up. It was not recognized, stopped, restarted, removed itself, reinstalled itself onto the phone - erratic behavior. Here is where I should have taken it out immediately and tried to recover anything I could before things hit the fan...unfortunately I waited too long and this morning, for no other reason than I turned my phone on, the card shows up as blank. Neither my Windows PC, nor my Mac, can even detect the card and yes, i tried two different adapters, and I tried the SanDisk recovery which ""found no recoverable files"" even though I checked all file type extensions.I've apparently lost all the pictures I had on there. To top it all off, my GF's cheap ""no name"" card has never had an issue in her exact same phone and keeps chugging along merrily.Paying a premium for a substandard product that fails in use after two months? No thanks. I'm going back to Lexar, which hasn't failed me yet. I'm also getting rid of all my SanDisk cards for my DSLR's, just in case. The fact that SanDisk is the first card thats ever failed on me, and a new card to boot, does not inspire confidence. Buy and use at your own risk.",19-02-13,February,2013.0,1
"I am very disappointed in this card.  I usually don't have an issue with SanDisk, but this 32GB ultra card died after two months.  Died as in, no longer recognizable by PC / Camera or any device.  Now I have to wrestle with warranty claim.",09-10-13,October,2013.0,1
I bought it because it was a great price for the capacity and rated speed. I use it for storage in my Nook HD+,27-11-13,November,2013.0,5
"I bought this card for my android based phone, soon I started getting messages that my card had been removed and or it was damaged, Tried it in my tablet same thing, and this was not the first card of this brand that I had bought that experienced this problem. Went to several online forums to see what the solution is; then someone hit upon it, it just might be a problem with this brand of cards.I bought a PNY brand micro SD card and had no problem whatsoever.",06-09-13,September,2013.0,1
"I bought this card on the strength of the 64GB XDSC SanDisk in my phone right now.  It was a gift for a friend of mine and sadly it corrupted within minutes of first use.Initially it worked fine, then dead.  We checked in a laptop and Windows Disk Management screen told me it had a single 128K partition and the rest was unusable.  Outstanding.The replacement sent by Amazon (Thank you Amazon, you are always excellent) is sitting in my office right now, I should probably check it out.",25-12-12,December,2012.0,1
"I bought this for my Samsung Galaxy S3 to expand the memory. Best money I could have spent. No issues, works as it should. Fast shipping, great packaging. Worth every penny.",18-09-13,September,2013.0,5
"I bought this to expand the memory on my Galaxy S4. Inexpensive, easily to install, and comes with an adapter to make it a full sized SD card, the SanDisk Ultra should be at the top of your list.",07-11-13,November,2013.0,5
"I had no issue using this with all of the above devices. It is still working strong and I trust SanDisk with all my gear including memory for DSLR use. Had not malfunctioned throughout many different uses and I trust this brand. Although it is more expensive as supposed to other brands, but they are worth extra in my opinion.",02-08-14,August,2014.0,5
I have a lot of music and pictures and keeping them on the card frees up storage for apps that cannot use the card.  Money well spent.,02-10-14,October,2014.0,5
"I have always trusted the SANDISK brand for valuable data.  This was ordered for my tablet and again, great size and quality for the price.",23-12-13,December,2013.0,5
"I have a Samsung Note II and was on the verge of having to uninstall programs when the newest version of Android came out which allowed you to move applications to the external storage.After reading the reviews I purchased this card to replace my 4G card, now I have room for all my pictures videos and tons of apps. The performance is really great from what I can tell , the pictures , videos and apps load quickly and I have not had any issues with this at all.A must have to extend your Android storage.",24-01-14,January,2014.0,5
I have this in a DROID X on Page Plus.  It works perfectly.  transfer speeds were good.  I have no complaints here.,03-05-13,May,2013.0,5
"I have used many memory devices from SanDisk, as well as a couple of Sansa MP3 players. This card lives up to my expectations. It works well in my Samsung Galaxy S3 phone. I haven't bothered with the adapter, but I have no doubt it does its job. It is nice to have it just in case I need to read the card outside the phone.",14-09-13,September,2013.0,5
I have used this for months on my Galaxy S4 with no issues and it is plenty fast to transfer content to this card.,05-02-14,February,2014.0,5
I just got a Note 3 and while 32gb is great...who wouldn't want another 64gb?  This SD card does what I want it to do and I'm happy with it.,03-10-14,October,2014.0,5
I like things that work and I like things that work the way they're sold to me and when they do I give it a great review so trust me when I say this works and you won't find a faster SD card out there.,12-08-12,August,2012.0,5
"I love this storage unit. I would buy again definitely. Great for pix, videos, docs, or whatever you want to store. I have  it in my ME173x.",03-01-14,January,2014.0,5
"I'm very happy with this item.  My Android has about a 4GB memory, and so this card is ideal for increasing it.Jrroadrunner",01-07-14,July,2014.0,5
"I needed this for my Samsung Galley tablet. It's doing the job it was needed for. I really didn't need the adapter, but most all micro SD cards come with them.",21-03-14,March,2014.0,4
"I needed to get more space on the SD card in  my phone, so naturally! I turned to a product I know for its quality and attention to details.  I want to be sure my photos and other data are held in a safe place.  For the money, you cannot beat this product and I will buy again.",10-06-13,June,2013.0,5
Initially when I inserted the card into the Samsung Galaxy S3 it recognized it but it wasn't able to format it correctly. After doing some research I found a free program EaseUS Partition Master [...] that will format the card into FAT 32 since Windows no longer allows you to do it by default. After formatting it into fat 32 the phone recognized the card and it works great now. I hope this helps anyone else that might run into this problem.,30-03-13,March,2013.0,4
"In some situations, depending on what hardware you intend to use this card in you'll need to format it in a special way using a formatting utility that doesn't come native to windows.  Also, the card gets extremely hot under heavy load.",28-01-14,January,2014.0,3
"Installed this in my Droid Bionic.I just backed up all my data using the included card reader adapter and the card reader slot on the laptop, and copied all data to a folder on my PC. Once done, reversed the process to my new micro sd card.Bionic recognized additional memory, some apps had to run updates, after adding card though this i don't attribute to the card itself it seems likely the apps were referencing something specific with hardware maybe.After the updates programs ran as expected.I did have one issue with PowerAMP media player where all the playlists dissapeared. not sure why and havent yet researched this in the PowerAMP forums. I assume this same issue would occur with any card upgrade.",19-05-13,May,2013.0,4
